0,1,2,song_start,same_song
Dulce Reggaeton - An Jone,"[-1.0778908e-05  9.6358153e-06  9.0822277e-07 ...  4.2842582e-01
  4.1556433e-01  3.8163462e-01]",172,172,172
Dulce Reggaeton - An Jone,[0.05637168 0.06769483 0.06410361 ... 0.48645177 0.47217417 0.4414348 ],173,172,172
Dulce Reggaeton - An Jone,[0.2374998  0.25348812 0.2666362  ... 0.42388648 0.42025363 0.39847398],174,172,172
Dusty Rhymes - Freedom Trail Studio,"[-1.1652843e-05 -4.0905568e-05  6.1326231e-05 ... -1.0870442e-01
 -9.8683678e-02 -7.7693984e-02]",175,175,175
Dusty Rhymes - Freedom Trail Studio,"[-0.0594624  -0.06372995 -0.02832786 ...  0.5100218   0.6123949
  0.51444817]",176,175,175
Early Avril - Unicorn Heads,"[ 0.          0.          0.         ... -0.00214902  0.00018258
  0.00020889]",177,177,177
Early Avril - Unicorn Heads,"[ 0.00676756  0.0129109   0.01483499 ... -0.02890334 -0.03177356
 -0.02618568]",178,177,177
Early Avril - Unicorn Heads,"[-0.01574623 -0.01989113 -0.02099883 ... -0.02782032 -0.02656385
 -0.02102284]",179,177,177
Early Avril - Unicorn Heads,"[-0.01501459 -0.01684538 -0.01441177 ... -0.01491148 -0.00888821
 -0.00325714]",180,177,177
Early Avril - Unicorn Heads,"[-0.00449137  0.00172438  0.00892486 ... -0.04284097 -0.04383855
 -0.03856638]",181,177,177
Early Avril - Unicorn Heads,"[-0.05095123 -0.06836477 -0.08291098 ... -0.00251558 -0.01165351
 -0.02331588]",182,177,177
Early Avril - Unicorn Heads,"[ 0.05196818  0.05540368  0.05397938 ... -0.0892009  -0.07755402
 -0.06349047]",183,177,177
Early Avril - Unicorn Heads,"[-0.00963206 -0.01011916 -0.00788271 ... -0.05447708 -0.05186777
 -0.04655032]",184,177,177
Early Oceans - Freedom Trail Studio,"[ 1.25965573e-06 -3.92558431e-05  5.06100805e-05 ...  1.72216743e-01
  1.56858400e-01  1.22428924e-01]",185,185,185
Early Oceans - Freedom Trail Studio,"[ 0.00163854 -0.00589985 -0.01647752 ... -0.02214584 -0.03849681
 -0.03849338]",186,185,185
Earth Appears - Brian Bolger,[0.         0.         0.         ... 0.07097632 0.07845136 0.08071415],187,187,187
Earth Appears - Brian Bolger,"[-0.00111203  0.00935618  0.01507921 ... -0.18289578 -0.16588314
 -0.13279058]",188,187,187
El Secreto - Yung Logos,"[-9.3792705e-06 -5.0120033e-08 -7.4762356e-06 ... -1.7476578e-01
 -1.7452213e-01 -1.6753890e-01]",189,189,189
El Secreto - Yung Logos,"[-0.20368691 -0.23813096 -0.2730178  ...  0.2445073   0.2697633
  0.2239693 ]",190,189,189
El Secreto - Yung Logos,"[ 0.20952232  0.21533754  0.20702899 ... -0.46833813 -0.42367622
 -0.3743007 ]",191,189,189
Enough - NEFFEX,"[1.0552058e-05 6.8665060e-05 8.5317457e-05 ... 4.2807620e-02 3.2414671e-02
 1.2678074e-02]",192,192,192
